product_id,avg_cost
14845,275.318182
14846,651.803684
14847,383.863636
14849,8.246667
14853,16.21996
14854,10.53
14857,524.061111
14859,93.170732
14860,92.237443
14863,1656.202963
14864,24.822378
14865,44.871429
14866,29.0
14867,25.719331
14868,36.652857
14869,33.982727
14875,33.568529
14877,62.51641
14878,74.193753
14879,44.502847
14880,277.143333
14882,500.0
14883,188.693182
14884,187.483703
14887,37.151852
14892,53.74
14894,269.287968
14895,18.499093
14896,232.642489
14897,43.118462
14901,43.239509
14902,471.276817
14904,45.406667
14905,156.455
14906,41.114848
14907,52.546667
14908,52.11039
14909,347.397059
14910,12.096306
14911,2.88
14912,41.613306
14913,40.0
14914,51.0
14915,56.382516
14917,19.564328
14920,359.090909
14921,1275.0
14922,255.489932
14923,106.413922
14925,26.603636
14927,1.235942
14930,108.18
14931,20.388077
14933,1.87535
14935,34.0
14939,184.041289
14940,169.875
14941,200.0
14942,210.800711
14944,3.177143
14945,59.039655
14946,40.375388
14947,40.970654
14949,87.598571
14950,50.178333
14952,14.65928
14960,32.602979
14965,836.2
14971,41.217676
14975,270.227197
14977,215.224897
14985,537.852462
14986,345.6
14987,21.083097
14988,17.336441
14990,10.571429
14992,72.666667
14993,36.23
14994,72.0
14996,51.283333
14998,38.19
14999,34.787778
15003,32.151986
15004,166.744726
15005,0.8725
15006,1.003775
15007,92.92499
15008,114.031554
15011,61.451986
15012,96.653644
15014,370.5
15015,103.580376
15017,47.04
15019,807.5
15020,312.472769
15022,844.2
15023,1077.055556
15026,1116.29
15027,186.699779
15028,36.551471
15030,24.784158
15032,8.0
15034,7.13
15036,56.578135
15037,5.653949
15039,1800.0
15042,2750.0
15043,125.868421
15044,1730.769231
15045,58.360278
15048,67.22
15049,80.77
15050,80.77
15052,16.746223
15053,64.015385
15054,47.600108
15059,176.561469
15060,412.586061
15061,406.846288
15062,49.363333
15063,206.755349
15064,19.933359
15066,9.64
15067,115.483871
15068,130.0
15070,45.675867
15072,230.793617
15073,25.633659
15074,500.810645
15075,5.71
15076,7.39
15077,34.186667
15078,8.361071
15082,16.642813
15083,33.817391
15084,47.69
15085,21.6
15086,21.384652
15089,343.707347
15092,98.02629
15093,228.68354
15094,290.798036
15097,21.907925
15098,0.75107
15100,20.115591
15103,19.0
15104,91.5
15105,154.86
15108,691.973923
15113,1922.04
15114,59.382667
15115,1307.039918
15120,291.56
15121,71.42
15122,75.0
15124,45.180153
15127,1.404634
15128,203.573913
15129,1728.571429
15135,23.09561
15139,7.454138
15140,12.555816
15142,274.501586
15143,313.63
15144,9.999013
15145,17.546875
15147,2.263
15148,1.348934
15153,52.789751
15154,126.728894
15155,171.327812
15158,17.436316
15159,13.973659
15161,5351.35
15163,683.109804
15164,20.47
15165,21.946108
15166,119.880783
15167,94.032376
15170,185.882353
15176,746.857143
15177,1.335891
15179,95.777778
15180,200.244923
15184,20.721531
15185,50.502
15186,26.172093
15187,46.254479
15188,84.0
15194,15.359167
15197,69.22
15198,75.0375
15204,26.070273
15205,70.061538
15206,88.759445
15207,93.103646
15209,31.5
15211,47.427564
15212,1.216364
15215,22.3121
15217,245.016881
15218,1.424014
15219,53.04
15223,19.8
15224,34.0
15229,545.973721
15230,24.87
15232,131.050588
15233,7.3
15235,22.424105
15237,181.82
15239,28.098039
15242,71.24513
15243,79.872
15244,34.464
15247,9.937143
15249,28.326603
15250,43.65
15252,13.870668
15253,694.60766
15254,29.75
15256,12.209452
15257,326.011494
15270,754.616486
15275,251.362795
15277,211.5235
15279,379.859155
15280,536.0
15281,52.2
15287,6247.5
15295,86.79
15296,308.111667
15297,263.363333
15298,319.547368
15301,180.0
15302,295.0
15304,219.893333
15306,27.581858
15307,17.272778
15308,26.403765
15311,37.846316
15312,52.629318
15313,23.2
15314,27.226111
15315,33.25
15317,54.715385
15318,2828.314286
15319,1146.6
15320,1539.744034
15324,45.863533
15325,8.693333
15334,14.26
15335,21.72037
15336,315.711151
15339,0.713333
15341,229.719044
15342,30.8
15343,863.333147
15345,293.660714
15346,27.07444
15347,39.664
15348,12.2525
15349,10.018824
15350,36.835959
15354,48.414634
15357,607.203908
15358,309.789889
15359,312.674828
15360,581.49477
15363,1800.0
15364,20.688152
15370,352.0
15371,242.0
15374,194.193602
15375,461.1
15376,468.704618
15379,1598.0
15380,1701.786667
15382,85.87963
15383,431.690465
15384,798.209959
15388,20.036913
15391,1600.0
15393,196.956848
15402,27.937656
15403,742.954927
15404,470.711485
15405,912.790698
15408,8.95
15410,57.428571
15411,358.59902
15414,233.011705
15416,2248.061538
15417,119.374875
15418,1008.0
15419,190.604444
15420,112.8
15421,8.425
15423,154.823744
15426,658.846154
15427,900.0
15432,21.03
15435,90.456954
15436,84.348375
15437,18.0
15438,7.784628
15439,1361.111111
15451,74.0
15453,20.373782
15454,17.6
15455,10.039012
15456,14.840744
15457,113.4
15458,212.058099
15459,332.5
15460,20.233333
15461,1035.673333
15464,43.4
15465,120.295522
15466,61.217037
15467,110.071111
15468,17.7625
15469,42.777917
15471,4633.648649
15473,71.16
15474,100.65
15475,234.537801
15476,80.0
15477,58.055682
15480,46.426771
15481,2.448421
15483,13.767088
15484,8.00807
15485,56.578947
15486,197.122249
15488,1148.4
15489,901.5
15490,294.375
15491,71.255388
15492,22.511042
15493,50.396477
15496,259.024286
15497,41.21125
15498,738.0
15500,17.736923
15501,82.093023
15502,34.938354
15503,53.635733
15504,68.673636
15505,42.591919
15506,63.3189
15509,16.662188
15510,203.349686
15511,29.141671
15512,46.96377
15516,250.0
15518,19.98
15519,20.035556
15522,160.086562
15523,249.99
15527,8500.0
15528,1054.645217
15529,1079.385075
15531,1843.75
15533,143.45
15534,101.254545
15535,78.0
15536,37.12
15538,2.595969
15540,114.0
15541,452.16825
15542,475.447115
15543,292.639175
15545,246.4
15546,8.480556
15549,1181.3
15550,31.74
15553,184.861607
15554,659.090909
15555,13.537442
15558,28.397143
15559,3.941438
15560,17.014772
15561,13.454973
15562,40.831048
15565,13.696792
15566,34.657411
15567,106.886456
15568,27.235294
15570,508.391652
15571,832.1509
15572,70.415878
15573,156.84427
15574,52.081398
15575,51.903118
15577,36.493545
15580,83.61
15582,50.605
15584,87.657
15588,621.11661
15589,108.532051
15590,19.53791
15591,64.756829
15592,368.365604
15593,512.8125
15594,1100.0
15596,36.940769
15603,127.676271
15605,116.914286
15607,132.389778
15612,49.56
15613,430.0
15614,72.61
15618,286.468143
15624,16.901875
15629,37.472857
15630,180.0
15631,28.413415
15634,521.75
15636,223.886861
15637,221.131786
15638,61.27
15639,527.068241
15642,2342.857143
15643,2172.222222
15645,26.875
15646,513.0
15653,91.583333
15662,159.213624
15667,24.715254
15670,810.0
15673,60.0
15674,0.207077
15675,55.5
15676,0.640708
15677,333.05375
15678,75.0
15679,349.461333
15680,101.412416
15681,117.267863
15683,169.900433
15684,68.316316
15689,495.939227
15691,3779.411765
15693,3.857
15695,3.5
15696,4.649047
15699,41.95
15700,8760.0
15701,18.554545
15706,1837.8
15707,142.827327
15708,172.016322
15709,145.25032
15710,138.569375
15711,109.6225
15712,11.748011
15714,126.534599
15717,278.046053
15718,20.940982
15721,21.488053
15725,423.094549
15726,13.122727
15727,29.231538
15728,131.150513
15729,351.0
15730,242.744927
15731,144.67783
15732,153.927609
15733,22.348261
15734,13.289231
15735,20.587824
15736,20.653488
15737,15.588261
15738,98.18202
15740,357.666667
15743,83.098592
15745,2.255772
15746,100.854545
15754,13205.988235
15755,1200.0
15758,22.735256
15759,29.742013
15760,414.286499
15761,167.133333
15762,248.172258
15767,31.786085
15768,29.975
15769,32.889151
15770,48.83
15774,4.994036
15780,566.314286
15781,493.482906
15783,1540.302717
15784,17.177453
15786,207.217848
15787,1.0
15791,106.150327
15797,32.63
15798,29.527
15799,40.880081
15800,38.330714
15801,48.348023
15802,78.166667
15803,4500.0
15804,22.58
15806,229.722389
15807,62.948276
15808,37.687273
15809,447.8125
15810,32.394629
15811,320.0
15813,81.285
15815,47.276341
15816,45.669024
15822,15.0
15827,553.107143
15828,161.793478
15829,21.998
15830,878.0
15833,399.9625
15834,2627.621892
15835,349.840281
15836,59.130022
15837,17.194466
15843,16.233333
15844,17.905714
15847,14.9
15849,158.888889
15850,165.0
15852,1276.0
15855,48000.0
15861,137.693069
15863,4000.0
15865,1201.428571
15870,1900.0
15874,546.350365
15875,450.0
15877,200.396373
15880,3660.0
15881,3534.090909
15885,1100.0
15889,5650.0
15893,535.849057
15894,4412.2
15896,7214.666667
15897,3750.0
15898,116.0
15900,2416.666667
15902,4211.538462
15903,4880.0
15904,5623.727119
15906,22000.0
15927,2292.638462
15928,491.967273
15929,408.14619
15930,424.751324
15932,350.0
15933,352.830189
15934,630.0
15935,850.0
15937,300.0
15939,34.59
15942,1252.941176
15943,0.781429
15944,575.0
15945,561.037425
15946,566.666667
15947,574.56
15948,566.666667
15952,900.0
15953,1200.0
15956,77.339817
15957,1829.411765
15959,40000.0
15963,1271.428571
15964,585.059574
15974,321.74087
15988,200750.0
15989,1740.0
15990,608.097686
15991,600.0
15994,4000.0
15997,450.0
15998,3778.125
16006,491.2
16011,24000.0
16013,4075.0
16021,3790.0
16025,28000.0
16031,2500.0
16033,2500.0
16034,1200.0
16040,551.282051
16041,7875.0
16042,1705.882353
16047,3475.0
16050,1100.0
16060,2600.0
16064,950.0
16065,866.666667
16067,4512.903226
16069,4500.0
16070,4500.0
16071,4000.0
16076,11.275178
16077,11.475831
16078,20.0
16081,36.0
16082,1300.0
16099,700.0
16101,6844.0
16103,4952.380952
16104,6000.0
16108,3000.0
16112,2000.0
16133,323.0
16142,713.122172
16149,9000.0
16151,1500.0
16169,1477.2
16178,1850.0
16180,2625.928
16182,3625.0
16188,6241.0
16189,2139.130435
16191,2414.285714
16193,14527.26
16194,10440.0
16195,9849.387222
16196,10391.36
16197,13835.03
16199,1914.0
16201,8926.153846
16205,368.97
16206,8685.862
16207,9672.0
16208,396.0
16209,10227.5
16210,9380.0
16211,9834.0
16213,4753.75
16214,16640.0
16216,116.0
16217,67.428571
16219,87.5563
16220,9.285294
16221,77.051346
16222,78.980588
16223,340.531818
16224,249.63913
16226,1294.029851
16229,6206.666667
16230,5603.595506
16235,245.0
16240,7826.0
16244,1800.0
16245,1663.636364
16250,1755.384615
16251,1913.043478
16252,944.444444
16253,371.866667
16259,660.0
16265,350.0
16266,253.0
16268,10000.0
16269,2977.731959
16273,3500.0
16274,1260.5775
16277,1000.0
16285,131.764706
16289,4613.072727
16293,2824.2
16297,4000.0
16298,2900.0
16299,900.0
16301,3821.666667
16304,7500.0
16305,3000.0
16306,4291.25125
16309,25000.0
16310,389.285714
16315,2500.0
16317,165.789474
16324,442.828947
16327,3812.5
16330,1400.0
16335,1531.25
16338,75000.0
16341,2085.714286
16342,2403.921569
16344,3134.615385
16346,350.0
16347,156.578947
16350,5000.0
16351,2500.0
16357,400.0
16358,1400.0
16359,600.0
16361,1600.0
16370,500.0
16371,4403.225806
16373,4500.0
16376,2500.0
16381,5219.512195
16384,4500.0
16385,185.714286
16390,3000.0
16394,775.0
16395,153.333333
16396,257.142857
16397,800.0
16403,495.368421
16404,505.090909
16405,1200.0
16406,1600.0
16410,4906.666667
16413,2200.0
16414,700.0
16416,4500.0
16418,356.666667
16422,1500.3
16423,1400.0
16428,721.363636
16435,1606.060606
16442,1500.0
16443,1000.0
16456,1000.0
16458,466.666667
16463,4226.666667
16466,7600.0
16470,300.0
16476,23.968817
16477,8.967742
16479,1352.91205
16482,161.881188
16483,150.0
16484,250.0
16487,417.142857
16492,1083.0
16494,1742.222267
16496,7000.0
16502,980.0
16503,980.0
16509,4201.757576
16511,15.501916
16513,764.575
16514,553.655172
16524,25000.0
16528,5000.0
16531,4500.0
16537,590.76
16540,2275.0
16547,3200.0
16550,27.31221
16551,20.818182
16553,3353.33
16554,3471.428571
16556,1444.470588
16557,1200.0
16566,15000.0
16567,18000.0
16581,90.0
16582,90.0
16583,90.0
16584,90.0
16585,90.0
16586,90.0
16587,90.0
16588,90.0
16589,90.0
